Date,Open,High,Low,Close,Adj Close,Volume
2014-09-29,91.040001,91.050003,89.529999,90.089996,69.940613,401800
2014-09-30,89.839996,90.529999,89.129997,89.849998,69.754318,299200
2014-10-01,90.029999,90.029999,89.070000,89.489998,69.474823,202800
2014-10-02,89.430000,89.720001,87.699997,89.010002,69.102180,262800
2014-10-03,88.620003,90.019997,88.500000,88.809998,68.946915,280300
2014-10-06,89.220001,90.489998,89.220001,90.050003,69.909576,245200
2014-10-07,89.910004,90.330002,89.239998,89.410004,69.412727,170100
2014-10-08,89.680000,91.169998,88.980003,90.959999,70.616035,234800
2014-10-09,91.070000,91.480003,89.370003,90.419998,70.196815,277600
2014-10-10,89.910004,90.180000,88.730003,88.820000,68.954681,210100
2014-10-13,89.040001,89.379997,88.360001,88.440002,68.659668,91700
2014-10-14,88.410004,88.660004,86.760002,87.010002,67.549492,372400
2014-10-15,86.410004,86.690002,83.519997,85.279999,66.206429,440800
2014-10-16,83.650002,86.790001,83.000000,85.790001,66.602364,340100
2014-10-17,86.660004,87.160004,85.919998,86.500000,67.153549,309400
2014-10-20,86.989998,87.330002,86.089996,87.050003,67.580544,218800
2014-10-21,87.599998,88.360001,87.059998,88.110001,68.403473,215200
2014-10-22,87.849998,88.279999,87.059998,87.440002,67.883324,229000
2014-10-23,87.870003,89.349998,87.690002,89.089996,69.164276,293900
2014-10-24,89.349998,89.989998,89.110001,89.550003,69.521416,223100
2014-10-27,89.419998,90.290001,89.010002,90.099998,69.948380,188000
2014-10-28,90.660004,92.129997,90.260002,91.529999,71.058548,327400
2014-10-29,91.870003,91.870003,90.610001,91.129997,70.748016,202900
2014-10-30,91.080002,91.629997,90.769997,91.209999,70.810143,129300
2014-10-31,91.269997,92.000000,90.820000,91.349998,70.918816,150400
2014-11-03,91.239998,91.239998,90.239998,90.519997,70.274460,150800
2014-11-04,90.250000,90.690002,89.650002,90.029999,69.894035,109300
2014-11-05,90.199997,91.070000,89.739998,90.769997,70.468529,173600
2014-11-06,90.879997,91.059998,89.830002,90.480003,70.243408,128400
2014-11-07,90.809998,91.449997,90.639999,90.980003,70.631584,149500
2014-11-10,91.279999,91.620003,90.680000,91.029999,70.670387,121500
2014-11-11,91.129997,91.839996,91.019997,91.449997,70.996452,91300
2014-11-12,91.430000,91.820000,91.190002,91.709999,71.198303,93400
2014-11-13,91.709999,92.279999,91.459999,91.970001,71.400154,117900
2014-11-14,91.900002,92.650002,91.900002,92.580002,71.873718,104200
2014-11-17,92.089996,93.000000,92.089996,92.540001,71.842659,191800
2014-11-18,92.879997,93.199997,92.449997,92.610001,71.897011,133600
2014-11-19,92.339996,92.599998,91.519997,92.349998,71.695152,130400
2014-11-20,92.330002,92.900002,92.320000,92.660004,71.935837,132700
2014-11-21,93.500000,93.529999,92.849998,93.290001,72.424919,176700
2014-11-24,93.169998,93.500000,91.980003,92.339996,71.687393,133800
2014-11-25,92.669998,93.809998,92.669998,93.589996,72.657822,184100
2014-11-26,93.599998,94.580002,93.529999,94.440002,73.317726,136400
2014-11-28,93.279999,93.830002,93.089996,93.389999,72.502556,100300
2014-12-01,93.620003,94.250000,93.000000,93.709999,72.750999,399000
2014-12-02,93.150002,93.680000,92.900002,93.400002,72.510330,373600
2014-12-03,93.559998,94.389999,93.459999,94.269997,73.185745,223100
2014-12-04,93.120003,93.570000,90.379997,90.870003,70.546173,504100
2014-12-05,90.809998,91.000000,88.269997,89.599998,69.560234,389000
2014-12-08,89.230003,89.230003,87.110001,88.529999,68.729530,409100
2014-12-09,87.720001,88.919998,87.480003,88.910004,69.024544,244500
2014-12-10,88.809998,88.809998,86.349998,87.209999,67.704765,360700
2014-12-11,86.800003,87.830002,86.430000,86.639999,67.262253,259700
2014-12-12,86.000000,86.300003,83.930000,84.250000,65.406792,464200
2014-12-15,84.160004,84.709999,83.099998,83.510002,64.832298,361800
2014-12-16,83.449997,85.650002,82.949997,84.370003,65.499947,354300
2014-12-17,84.629997,85.919998,84.279999,85.089996,66.058899,225700
2014-12-18,86.370003,86.489998,84.820000,85.360001,66.268532,279700
